ID,short_label,long_label
00088,"School of black and white striped thropical fish","Big school of black and white striped thropical fish floating close to coral reef"
00113,"Big school of fish close to water surface","Big school of various type of fish close to the water surface. In the middle there seem to be a shark or tuna."
00397,"pink coral reef similar to desert rose crystal","coral reef covered in light pink colored coral which resembles the desert rose mineral."
00500,"coral looking like desert rose mineral","coral looking very similar to famous desert rose mineral/crystal"
00612,"round boulder next to wine grapes looking coral","round boulders on the left side of the picture one is fully visible second is only half visible. In the right side there are corals of green color looking similar to bunch of green grapes."
00637,"electric cabels connected to black structure","some kind of diving gear of black color with two black electric cabels visible. The structure is in the left part of the picture."
00839,"Underwater plants with big leafs on stone","Underwater plants with big green leafs growing on the rock slope."
01071,"boulders on the sea bottom and light purple coral","Brown boulders on the sea bottom and coral of light purple color in the middle of the picture. The coral is shaped similar to stalagmite"
01320,"Coral with yellow fingers and 3 white corals looking like carpets","Multiple corals, in the left part of the picture there is a coral with yellow fingers, on the right side there are white corals looking similar to circular fluffy carpets."
01326,"two divers with rock between them","two scuba divers in black one in tigh pants and blue fins wearing gas tank. There is a big boulder in distnace between them."
01357,"coral of polypore fungus shape on sand","Coral of round shape similarly looking to polypore fungus. The colral is on upper part of the picture. There is sand around and in the right bottom corner there is other type of coral."
01397,"fish swimming over sand which is next to the coral reef","White sand with small fish floating above it. Right next to it there is a coral reef with corals looking similar to broccoli."
01513,"diver with yellow t-shirt, gas tank and blue fins","Back view of scuba diver wearing bright yellow t-shirt, blue fins and grey gas tank. There are small bubbles rising over him."
01571,"multiple blue and black colored fish","6 tropical looking fish with black head and tail and light blue body. They are close to rock covered sea bottom. There is a coral close to them."
01587,"orange color","orange color with some stones lightly visible"
01840,"Bottom of the underwater ravine","View from the bottom of the underwater ravine. In the middle there is the water surface and sun shinig visible. It is surrounded by stone walls."
01886,"Thropical fish of various color and type, stones on the back","Three types of small thropical fish in the centre of the picture, two yellow in the middle to the right there is one white with black stripes and yellow tail and to the left there are two orange fish. On the background there is stone reef"
02042,"picture with pink/orange color and blue color","Picture of reef which takes 3/4 of the picture, it has cross of pink and orange color, on the right part there is water which is light blue. In the water there is fish."
02243,"moray eel head sticking out of cavity","Moray eel head sticking from small hole between two rocks, the moray eel is dark with lot of small white spots"
