ID,short_label,long_label
00007,"Tattoo","Leg tattoo of a purple dragon, the grass on the background"
00010,"Trees from below","Underview of leaf trees, blue sky visible too"
00014,"Banana plant","Small banana plant in a dark blue pot on a table with other plants on background."
00018,"Miniature Pinscher on a fluffy carpet","Miniature Pinscher on a fluffy carpet sniffing a snack"
00029,"Matching painted nails","Matching painted nails"
00042,"Nails being painted","girl in striped tshirt painting nails of other girls in red and black dress"
00045,"Classroom","Classroom with student sitting on table"
00058,"Paper notebook with notes and purple marks","Paper notebook with notes and purple marks"
00066,"Kitten laying on its side on the carpet","White and brown kitten laying on its side on a beige carpet"
00070,"Seating plan in a cinema","Seating plan in a cinema from top with red cinema chairs"
00075,"Girl in a sky blue barret","Girl wearing sky blue barret and dark coat posing"
00077,"Girl and boy together on picture","Girl wearing shades and blue barret and boy with long hair together on picture"
00092,"Man sitting on a sofa","Man with brown pants and jacket and long hair sitting on a grey sofa"
00093,"Family dinner in a restaurant","Family dinner in a restaurant, white table and brick ceiling"
00103,"Pizza","Pizza with few slices of peperoni"
00109,"Dorms room","Dorms room acomodation, window in the middle"
00111,"Dorms room","Dorms room but at night"
00115,"Picture of earbud headphones","Picture of white earbud headphones on internet"
00117,"Picture of boy and girl","Picture of asian boy in beige hoodie and girl in white"
00121,"Girls showing her tongue","Girls  in brown and black sweater showing her tongue"
00122,"Concert","Picture from concert with drums and electric piano visible" 
00125,"Concert","Picture from concert with drums , electric piano and red bass guitar"
00127,"Planetarium","big old planetarium scope"
00136,"Doggo","Dog on wooden plan ground"
00138,"Cafe","picture of table in cafeteria with wine glasses on top"
00143,"Milenium Falcon lego","Milenium Falcon ucs lego set"
00151,"Winter markets","Winter markets in old town covered in snow"
00152,"Prague covered in snow","Prague castle covered in snow, river in the bottom"
00156,"Coffee and brownie","Coffee espresso and brownie cup on silver tray"
00157,"Coffee and brownie","Coffee espresso and brownie cup on silver tray"
00159,"Man with scarf","Man with curly hair wearing black and white scarf as a cape"
00161,"Bridge covered in snow","Charles bridge covered in snow during night"
00175,"Small dog walking on people","Small dog walking on top of person lying on back"
00178,"Picture of girl with castle","Picture of a girl wearing cape with Bratislava castle on the background"
00182,"Futuristic bridge over river","Futuristic bridge over river, there is a restaurant on top of the bridge"
00210,"Sketch of a graph on a paper","Sketch of a graph on a paper sheet"
00217,"Vintage ski jacket","Vintage blue ski jacket on white background"
00222,"Macbook on a table","Macbook on a table with paper and PC screen behind it"
00223,"Old town","Old town ghotic gate"
00224,"IKEA coat hanger","Internet picture of white IKEA coat hanger"
00225,"Clothes hanger","Internet picture of white IKEA coat hanger"
00231,"Girl in a pink vest","Girl wearing a pink west and black top"
00235,"Brutalistic architecture","Picture of brutalistic architecture building captured from inside of car"
00238,"Forrest in winter","Forrest in winter covered in snow"
00258,"Google maps","Screen shot from google maps"
00263,"Weeled robot","Wheeled simple robot with red eyes"
00269,"Diploma","Diploma in white casing"
00275,"Prague","Picture of pragues charles bridge over vltava river"
00276,"Family dinner","Family sitting around table having dinner"
00278,"Mirror wall","two people dressed in black posing in front of mirror"
00287,"Gym selfie","Mirror selfie from gym, three people there"
00290,"Small dog yawning","Small black dog yawning while laying on a bed"
00299,"Man holding rifle","Man holding sniper rifle, wooden cabin and trees on the background"
00302,"Man aiming rifle","Man aiming sniper rifle, wooden cabin and trees on the background"
00305,"Cherry blossom","pink cherry trees blossom"
00306,"Cherry blossom","pink cherry trees blossom"
00307,"Cappuchinos","Two cappuchinos and a cupcake on a metal tray"
00309,"Forrest","Leafy forrest with tall trees"
00315,"Boats on a river","Boats on a river with old building on the background"
00316,"Ships on a river","Ships on pragues vltava river next to the charles bridge"
00318,"Paper notebook with notes","Paper notebook with notes placed on a wooden table"
00332,"Paper","Paper on a table with black keyboard above it"
00340,"Sunset above Prague","Orange sunset above prague castle, river canal in the front"
00348,"Dog sitting on a bench","White dog with black ears sitting on a wooden bench"
00349,"Monitor","PC monitor and a black keyboard on a table"
00356,"Baked pig","Bick tray with baked pig and potatoes"
00359,"Points table","Phone screenshot of table with point in black"
00368,"Cold brew coffee maker","Cold brew coffee maker made out of glass and black plastic"
00369,"Raw steak","Raw peace of steak with white background"
00371,"City street","City street with red car in the front"
00377,"Barber shop","Mirror selfie in a barber shop, moose head on a wall"
00386,"Grafiti","Grafiti on a wall with threes above" 
00389,"Butterfly","Brown and white butterfly"
00404,"Curly hair","man in black shirt with dark curly hair"
00411,"Golf playing","Man plaing golf, he is wearing white shirt and black shorts"
00413,"Banana plant","Banana plant in a pot"
00416,"Train seating plan","screenshot of train seating plan"
00422,"Drinks","Drinks with icecubes and straws on a black table, yellow backpack"
00424,"Cold brew","glass of cold brew coffee and glass of water"
00427,"Person with crown","Person in a white shirt wearing a crown sipping wine"
00428,"Sunset over vineyards","Sunset over vineyards"
00433,"Lake","Beautiful Lake with crystal clear water with forest on the other side"
00439,"Sushi","Plane food and sushi"
00440,"Sushi and chill","Plane food and sushi and chill"
00446,"Cork pin table","Cork pin table with white poster on it"
00450,"Musician poster","Musician poster graphic"
00459,"Dog nose","Dog nose and mouth from close"
00464,"Man in a shirt","Man wearing a white shirt during sunset"
00467,"Pavement","Pavement on street during night"
00470,"Communism vibe","Big building with comunist vibe during night"
00482,"Tram","Tram on a road"
00483,"Library","Big wooden table in a library"
